Player,position,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
DJ Chark,WR,4,31,1,0,0,12,1,25,0,7,10
Jacob Cowing,WR,4,80,0,1,1,41,3,75,0,26,6
Will Mallory,TE,4,29,0,0,0,10,1,25,0,4,8
Will Shipley,RB,4,35,0,0,0,13,2,50,0,28,4
Ben Sims,TE,4,42,0,1,0,28,1,25,0,16,5
Deven Thompkins,WR,4,20,0,0,0,12,2,50,0,28,4
Tyquan Thornton,WR,4,47,0,0,0,17,2,50,0,24,8
Alex Bachman,WR,3,31,0,0,0,18,2,66.7,0,10,3
Tyler Badie,RB,3,-2,0,0,0,2,0,0,1,4,3
David Bell,WR,3,27,0,0,0,12,1,33.3,0,8,3
Jonathon Brooks,RB,3,23,0,0,0,18,2,66.7,0,31,3
Dan Chisena,WR,3,37,0,1,0,23,2,66.7,0,9,4
Tanner Conner,TE,3,16,0,0,0,11,1,33.3,0,5,4
Malachi Corley,WR,3,16,0,0,0,10,1,33.3,0,5,6
DeeJay Dallas,RB,3,11,1,0,0,5,1,33.3,0,20,3
Josiah Deguara,TE,3,14,0,0,0,8,0,0,0,12,3
Gus Edwards,RB,3,6,0,0,0,3,0,0,0,11,5
Clyde Edwards-Helaire,RB,3,24,0,0,0,14,1,33.3,0,35,5
Dee Eskridge,WR,3,44,0,1,0,30,2,66.7,0,29,3
Hassan Haskins,RB,3,49,1,1,0,34,2,66.7,0,42,3
Dallin Holker,TE,3,21,0,0,0,10,1,33.3,0,13,4
Travis Homer,RB,3,11,0,0,0,6,0,0,0,10,3
Trenton Irwin,WR,3,15,0,0,0,6,1,33.3,0,4,10
Tim Jones,WR,3,41,0,1,0,20,3,100,0,17,5
Chris Manhertz,TE,3,30,1,0,0,16,2,66.7,0,19,4
Kenny McIntosh,RB,3,22,0,0,0,15,1,33.3,0,17,4
James Proche,WR,3,21,0,0,0,14,1,33.3,0,4,3
Craig Reynolds,RB,3,40,0,1,0,26,2,66.7,0,42,5
Allen Robinson,WR,3,30,0,1,0,21,3,100,0,4,7
Patrick Taylor,RB,3,25,0,0,0,12,2,66.7,0,19,11
Ian Thomas,TE,3,7,0,0,0,3,1,33.3,0,6,6
Jamari Thrash,WR,3,22,0,0,0,11,2,66.7,0,14,7
Sione Vaki,RB,3,37,0,0,0,17,2,66.7,0,20,3
Deuce Vaughn,RB,3,18,0,0,0,8,0,0,0,13,5
Jeff Wilson,RB,3,19,0,0,0,7,0,0,0,19,3
Jaylen Wright,RB,3,8,0,0,0,6,1,33.3,0,8,6
Jaheim Bell,TE,2,20,0,0,0,19,1,50,0,5,3
Ronnie Bell,WR,2,22,0,0,0,12,2,100,0,5,6
Julius Chestnut,RB,2,11,0,0,0,9,0,0,0,14,3
Grant DuBose,WR,2,11,0,0,0,13,1,50,0,3,4
Ashton Dulin,WR,2,67,1,1,1,54,2,100,0,43,8
Isaiah Hodgins,WR,2,12,0,0,0,7,0,0,0,1,2
Brevin Jordan,TE,2,7,0,0,0,4,1,50,0,3,3
Mason Kinsey,WR,2,17,0,0,0,11,1,50,0,0,2
Dameon Pierce,RB,2,2,0,0,0,1,0,0,0,5,4
Nikko Remigio,WR,2,48,0,2,0,25,2,100,0,14,6
Xavier Smith,WR,2,6,0,0,0,11,1,50,0,5,2
Jack Stoll,TE,2,10,0,0,0,6,0,0,0,2,3
J.J. Taylor,RB,2,0,0,0,0,2,0,0,0,1,3
Eric Tomlinson,TE,2,9,0,0,0,7,0,0,0,12,4
Austin Trammell,WR,2,40,0,1,0,22,2,100,0,9,3
Cody White,WR,2,44,0,1,0,28,2,100,0,13,3
Kristian Wilkerson,WR,2,18,1,0,0,9,2,100,0,11,3
Isaiah Williams,WR,2,6,0,0,0,4,0,0,0,7,3
Robbie Chosen,WR,1,5,0,0,0,5,0,0,0,1,4
Javon Baker,WR,1,12,0,0,0,12,1,100,0,0,4
Chris Blair,WR,1,17,0,0,0,17,1,100,0,0,2
Mike Boone,RB,1,-2,0,0,0,-2,0,0,0,2,3
